Make,Model,Logo,janv-12,Feb 2012,mars-12,Apr 2012,May 2012,juin-12,juil-12,Aug 2012,sept-12,oct-12,nov-12,Dec 2012,janv-13,Feb 2013,mars-13,Apr 2013,May 2013,juin-13,juil-13,Aug 2013,sept-13,oct-13,nov-13,Dec 2013,janv-14,Feb 2014,mars-14,Apr 2014,May 2014,juin-14,juil-14,Aug 2014,sept-14,oct-14,nov-14,Dec 2014,janv-15,Feb 2015,mars-15,Apr 2015,May 2015,juin-15,juil-15,Aug 2015,sept-15,oct-15,nov-15,Dec 2015,janv-16,Feb 2016,mars-16,Apr 2016,May 2016,juin-16,juil-16,Aug 2016,sept-16,oct-16,nov-16,Dec 2016,janv-17,Feb 2017,mars-17,Apr 2017,May 2017,juin-17,juil-17,Aug 2017,sept-17,oct-17,nov-17,Dec 2017,janv-18,Feb 2018,mars-18,Apr 2018,May 2018,juin-18,juil-18,Aug 2018,sept-18,oct-18,nov-18,Dec 2018,janv-19,Feb 2019,mars-19,Apr 2019,May 2019,juin-19,juil-19,Aug 2019,sept-19,oct-19,nov-19,Dec 2019,Model Year,City Range,Highway Range,Transmission Type,Engine Type,Engine Size,Engine Cylinder Count,Engine Description,Battery Type,Battery Voltage Amps,110v Charge Time,220v Charge Time,Manufacturer,Fuel Code,Fuel,Category
Tesla,Model S,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,0.0,,,,,12.0,31.0,74.0,160.0,460.0,860.0,2650.0,3850.0,5250.0,7550.0,9650.0,11350.0,12700.0,14000.0,15300.0,16800.0,17600.0,18800.0,20300.0,21100.0,22189.0,23489.0,24589.0,25589.0,27089.0,27889.0,28489.0,30989.0,32289.0,33489.0,36989.0,38089.0,39239.0,41689.0,43389.0,45789.0,48589.0,50189.0,51489.0,53989.0,55889.0,58591.0,62191.0,63041.0,64591.0,68581.0,69381.0,70581.0,74281.0,76235.0,79087.0,83437.0,84137.0,85237.0,91087.0,91987.0,93737.0,97187.0,98312.0,99932.0,102282.0,103707.0,105857.0,110717.0,111837.0,113172.0,118147.0,118947.0,120072.0,123447.0,124697.0,126217.0,128967.0,130167.0,132792.0,136542.0,137892.0,140642.0,143892.0,144617.0,145242.0,147517.0,148342.0,"149,367","151,117","152,092","153,142","154,242","154,992","156,492","157,992",2013,,,Auto,,300 kW e-motor,,,40 kWh,,,,Tesla,ELEC,Electric,Sedan/Wagon
Tesla,Model S,https://www.carlogos.org/logo/Tesla-logo-2003-2500x2500.png,0.0,,,,,12.0,31.0,74.0,160.0,460.0,860.0,2650.0,3850.0,5250.0,7550.0,9650.0,11350.0,12700.0,14000.0,15300.0,16800.0,17600.0,18800.0,20300.0,21100.0,22189.0,23489.0,24589.0,25589.0,27089.0,27889.0,28489.0,30989.0,32289.0,33489.0,36989.0,38089.0,39239.0,41689.0,43389.0,45789.0,48589.0,50189.0,51489.0,53989.0,55889.0,58591.0,62191.0,63041.0,64591.0,68581.0,69381.0,70581.0,74281.0,76235.0,79087.0,83437.0,84137.0,85237.0,91087.0,91987.0,93737.0,97187.0,98312.0,99932.0,102282.0,103707.0,105857.0,110717.0,111837.0,113172.0,118147.0,118947.0,120072.0,123447.0,124697.0,126217.0,128967.0,130167.0,132792.0,136542.0,137892.0,140642.0,143892.0,144617.0,145242.0,147517.0,148342.0,"149,367","151,117","152,092","153,142","154,242","154,992","156,492","157,992",2012,,,Auto,e-motor,300 kW,,,Li-Ion,,,,Tesla Motors,ELEC,Electric,Sedan/Wagon
Mitsubishi,i-MiEV,https://www.carlogos.org/logo/Mitsubishi-logo-2000x2500.png,36.0,80.0,136.0,215.0,300.0,333.0,366.0,403.0,439.0,469.0,511.0,588.0,845.0,1182.0,1213.0,1340.0,1431.0,1470.0,1516.0,1546.0,1566.0,1594.0,1606.0,1617.0,1618.0,1621.0,1645.0,1657.0,1692.0,1714.0,1731.0,1751.0,1766.0,1783.0,1801.0,1813.0,1816.0,1818.0,1828.0,1844.0,1862.0,1885.0,1897.0,1903.0,1906.0,1915.0,1919.0,1928.0,1930.0,1935.0,1936.0,1942.0,1944.0,1948.0,1968.0,1993.0,2010.0,2014.0,2019.0,2022.0,2023.0,2026.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028,2028,2028,2028,2028,2028,2028,2028,2017,,,Auto,SI,,,49 kW electric motor 16 kW battery,,,,,Mitsubishi,ELEC,Electric,Sedan/Wagon
Mitsubishi,i-MiEV,https://www.carlogos.org/logo/Mitsubishi-logo-2000x2500.png,36.0,80.0,136.0,215.0,300.0,333.0,366.0,403.0,439.0,469.0,511.0,588.0,845.0,1182.0,1213.0,1340.0,1431.0,1470.0,1516.0,1546.0,1566.0,1594.0,1606.0,1617.0,1618.0,1621.0,1645.0,1657.0,1692.0,1714.0,1731.0,1751.0,1766.0,1783.0,1801.0,1813.0,1816.0,1818.0,1828.0,1844.0,1862.0,1885.0,1897.0,1903.0,1906.0,1915.0,1919.0,1928.0,1930.0,1935.0,1936.0,1942.0,1944.0,1948.0,1968.0,1993.0,2010.0,2014.0,2019.0,2022.0,2023.0,2026.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028,2028,2028,2028,2028,2028,2028,2028,2016,,,Auto,SI,49 kW,,49 kW electric motor 16 kWh battery,,16 kWh,,,Mitsubishi,ELEC,Electric,Sedan/Wagon
Mitsubishi,i-MiEV,https://www.carlogos.org/logo/Mitsubishi-logo-2000x2500.png,36.0,80.0,136.0,215.0,300.0,333.0,366.0,403.0,439.0,469.0,511.0,588.0,845.0,1182.0,1213.0,1340.0,1431.0,1470.0,1516.0,1546.0,1566.0,1594.0,1606.0,1617.0,1618.0,1621.0,1645.0,1657.0,1692.0,1714.0,1731.0,1751.0,1766.0,1783.0,1801.0,1813.0,1816.0,1818.0,1828.0,1844.0,1862.0,1885.0,1897.0,1903.0,1906.0,1915.0,1919.0,1928.0,1930.0,1935.0,1936.0,1942.0,1944.0,1948.0,1968.0,1993.0,2010.0,2014.0,2019.0,2022.0,2023.0,2026.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028,2028,2028,2028,2028,2028,2028,2028,2015,,,Auto,e-motor,49 kW,,"49 kW electric motor, 16 kWh battery",,16 kWh,,,Mitsubishi,ELEC,Electric,Sedan/Wagon
Mitsubishi,i-MiEV,https://www.carlogos.org/logo/Mitsubishi-logo-2000x2500.png,36.0,80.0,136.0,215.0,300.0,333.0,366.0,403.0,439.0,469.0,511.0,588.0,845.0,1182.0,1213.0,1340.0,1431.0,1470.0,1516.0,1546.0,1566.0,1594.0,1606.0,1617.0,1618.0,1621.0,1645.0,1657.0,1692.0,1714.0,1731.0,1751.0,1766.0,1783.0,1801.0,1813.0,1816.0,1818.0,1828.0,1844.0,1862.0,1885.0,1897.0,1903.0,1906.0,1915.0,1919.0,1928.0,1930.0,1935.0,1936.0,1942.0,1944.0,1948.0,1968.0,1993.0,2010.0,2014.0,2019.0,2022.0,2023.0,2026.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028,2028,2028,2028,2028,2028,2028,2028,2014,,,Auto,,49,,49 kW electric motor,,16 kWh,,,Mitsubishi,ELEC,Electric,Sedan/Wagon
Mitsubishi,i-MiEV,https://www.carlogos.org/logo/Mitsubishi-logo-2000x2500.png,36.0,80.0,136.0,215.0,300.0,333.0,366.0,403.0,439.0,469.0,511.0,588.0,845.0,1182.0,1213.0,1340.0,1431.0,1470.0,1516.0,1546.0,1566.0,1594.0,1606.0,1617.0,1618.0,1621.0,1645.0,1657.0,1692.0,1714.0,1731.0,1751.0,1766.0,1783.0,1801.0,1813.0,1816.0,1818.0,1828.0,1844.0,1862.0,1885.0,1897.0,1903.0,1906.0,1915.0,1919.0,1928.0,1930.0,1935.0,1936.0,1942.0,1944.0,1948.0,1968.0,1993.0,2010.0,2014.0,2019.0,2022.0,2023.0,2026.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028.0,2028,2028,2028,2028,2028,2028,2028,2028,2013,,,,,49 kW e-motor,,,16 kWh,,,,Mitsubishi,ELEC,Electric,Sedan/Wagon
Honda,Fit EV,https://www.carlogos.org/logo/Honda-logo-1920x1080.png,0.0,,,,,,7.0,16.0,32.0,48.0,74.0,93.0,101.0,116.0,139.0,161.0,176.0,384.0,447.0,513.0,548.0,588.0,611.0,662.0,692.0,725.0,762.0,812.0,845.0,883.0,925.0,980.0,1009.0,1032.0,1037.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069.0,1069,1069,1069,1069,1069,1069,1069,1069,2012,100,,3 mode / 1 speed,,,,,Li-Ion,,,,Honda,ELEC,Electric,Sedan/Wagon
Fiat,500e,https://www.carlogos.org/logo/Fiat-logo-2006-1920x1080.png,0.0,,,,,,,,,,,,,,,,,,200.0,560.0,1010.0,1410.0,1840.0,2310.0,2620.0,2956.0,3600.0,4042.0,4518.0,5154.0,5682.0,6217.0,6735.0,6952.0,7163.0,7442.0,7701.0,8016.0,9326.0,10043.0,10463.0,10826.0,11311.0,11921.0,12556.0,12981.0,13371.0,13636.0,13941.0,14151.0,14606.0,15001.0,15426.0,15706.0,15931.0,16291.0,16981.0,17726.0,18316.0,18966.0,19718.0,20308.0,21093.0,21634.0,22107.0,22466.0,22861.0,23151.0,23436.0,23746.0,23961.0,24346.0,24556.0,24791.0,25076.0,25291.0,25541.0,25766.0,25986.0,26061.0,26155.0,26255.0,26403.0,26596.0,26668.0,26755.0,26788.0,26808.0,"26,868","26,893","26,933","26,978","27,018","27,068‬","27,118","27,211",2017,,,Auto,SI,82 kW,,82 kW electric motor,,,,,Fiat,ELEC,Electric,Sedan/Wagon
Fiat,500e,https://www.carlogos.org/logo/Fiat-logo-2006-1920x1080.png,0.0,,,,,,,,,,,,,,,,,,200.0,560.0,1010.0,1410.0,1840.0,2310.0,2620.0,2956.0,3600.0,4042.0,4518.0,5154.0,5682.0,6217.0,6735.0,6952.0,7163.0,7442.0,7701.0,8016.0,9326.0,10043.0,10463.0,10826.0,11311.0,11921.0,12556.0,12981.0,13371.0,13636.0,13941.0,14151.0,14606.0,15001.0,15426.0,15706.0,15931.0,16291.0,16981.0,17726.0,18316.0,18966.0,19718.0,20308.0,21093.0,21634.0,22107.0,22466.0,22861.0,23151.0,23436.0,23746.0,23961.0,24346.0,24556.0,24791.0,25076.0,25291.0,25541.0,25766.0,25986.0,26061.0,26155.0,26255.0,26403.0,26596.0,26668.0,26755.0,26788.0,26808.0,"26,868","26,893","26,933","26,978","27,018","27,068‬","27,118","27,211",2016,,,Auto,SI,83kW,,83kW electric motor 24 kWh battery,,24 kWh,,,Fiat,ELEC,Electric,Sedan/Wagon
